Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0000100	PcyM_0000100-t36_1	PcyM_0000100	N/A	0	0	5.43	
PcyM_0000200	PcyM_0000200-t36_1	PcyM_0000200	N/A	0	4.6	0	
PcyM_0000300	PcyM_0000300-t36_1	PcyM_0000300	N/A	0	146.42	0	
PcyM_0000350	PcyM_0000350-t36_1	PcyM_0000350	N/A	0	0.66	0	
PcyM_0000400	PcyM_0000400-t36_1	PcyM_0000400	N/A	0	18.9	0	
PcyM_0000500	PcyM_0000500-t36_1	PcyM_0000500	N/A	0	30.82	1.05	
PcyM_0000600	PcyM_0000600-t36_1	PcyM_0000600	N/A	0	3.62	0	
PcyM_0000650	PcyM_0000650-t36_1	PcyM_0000650	N/A	0	1.75	3.4	
PcyM_0000700	PcyM_0000700-t36_1	PcyM_0000700	N/A	0	4.91	1.89	
PcyM_0000800	PcyM_0000800-t36_1	PcyM_0000800	N/A	0	7.67	4.49	
PcyM_0000900	PcyM_0000900-t36_1	PcyM_0000900	N/A	0	8.47	0	
PcyM_0001000	PcyM_0001000-t36_1	PcyM_0001000	N/A	0	4.42	1.36	
PcyM_0001100	PcyM_0001100-t36_1	PcyM_0001100	N/A	0.27	1.08	0	
PcyM_0001200	PcyM_0001200-t36_1	PcyM_0001200	N/A	0	5.52	0	
PcyM_0001300	PcyM_0001300-t36_1	PcyM_0001300	N/A	0	10.04	0	
PcyM_0001400	PcyM_0001400-t36_1	PcyM_0001400	N/A	0	19.39	3.27	
PcyM_0001500	PcyM_0001500-t36_1	PcyM_0001500	N/A	0	0	0.79	
PcyM_0001550	PcyM_0001550-t36_1	PcyM_0001550	N/A	0	2.95	0	
PcyM_0001600	PcyM_0001600-t36_1	PcyM_0001600	N/A	0	1.83	14.36	
PcyM_0001650	PcyM_0001650-t36_1	PcyM_0001650	N/A	0	0.17	0	
PcyM_0001700	PcyM_0001700-t36_1	PcyM_0001700	N/A	0	0	0	
PcyM_0001800	PcyM_0001800-t36_1	PcyM_0001800	N/A	0	0.52	1.6	
PcyM_0001900	PcyM_0001900-t36_1	PcyM_0001900	N/A	0	2.4	1.28	
PcyM_0002100	PcyM_0002100-t36_1	PcyM_0002100	N/A	0.07	4.94	1.32	
PcyM_0002200	PcyM_0002200-t36_1	PcyM_0002200	N/A	0	2.65	0	
PcyM_0002300	PcyM_0002300-t36_1	PcyM_0002300	N/A	0	0.58	3.02	
PcyM_0002390	PcyM_0002390-t36_1	PcyM_0002390	N/A	0	5.2	0	
PcyM_0002400	PcyM_0002400-t36_1	PcyM_0002400	N/A	0.07	44.94	0	
PcyM_0002450	PcyM_0002450-t36_1	PcyM_0002450	N/A	0	7.51	0	
PcyM_0002470	PcyM_0002470-t36_1	PcyM_0002470	N/A	0	10.66	0	
PcyM_0002500	PcyM_0002500-t36_1	PcyM_0002500	N/A	0	43.75	0	
PcyM_0002700	PcyM_0002700-t36_1	PcyM_0002700	N/A	0	10.75	2.79	
PcyM_0002800	PcyM_0002800-t36_1	PcyM_0002800	N/A	0	83.23	0	
PcyM_0002900	PcyM_0002900-t36_1	PcyM_0002900	N/A	0	24.41	0	
PcyM_0002950	PcyM_0002950-t36_1	PcyM_0002950	N/A	0	7.11	0	
PcyM_0003000	PcyM_0003000-t36_1	PcyM_0003000	N/A	0	68.69	0	
PcyM_0003050	PcyM_0003050-t36_1	PcyM_0003050	N/A	0	15.81	0	
PcyM_0003100	PcyM_0003100-t36_1	PcyM_0003100	N/A	0	2.23	1.15	
PcyM_0003150	PcyM_0003150-t36_1	PcyM_0003150	N/A	0	4.07	0	
PcyM_0003200	PcyM_0003200-t36_1	PcyM_0003200	N/A	0	12.71	1.24	
PcyM_0003250	PcyM_0003250-t36_1	PcyM_0003250	N/A	0	9.31	0	
PcyM_0003300	PcyM_0003300-t36_1	PcyM_0003300	N/A	0	30.68	0	
PcyM_0003400	PcyM_0003400-t36_1	PcyM_0003400	N/A	0	5.13	2.09	
PcyM_0003500	PcyM_0003500-t36_1	PcyM_0003500	N/A	1.48	26.38	0	
PcyM_0003550	PcyM_0003550-t36_1	PcyM_0003550	N/A	0	4.5	0	
PcyM_0003600	PcyM_0003600-t36_1	PcyM_0003600	N/A	0	20.59	6.97	
PcyM_0003650	PcyM_0003650-t36_1	PcyM_0003650	N/A	0	0.47	1.95	
PcyM_0003700	PcyM_0003700-t36_1	PcyM_0003700	N/A	0	89.88	0	
PcyM_0003750	PcyM_0003750-t36_1	PcyM_0003750	N/A	0	0.28	0	
PcyM_0003800	PcyM_0003800-t36_1	PcyM_0003800	N/A	0	40.15	1.71	
PcyM_0003900	PcyM_0003900-t36_1	PcyM_0003900	N/A	0	9.64	0	
PcyM_0004000	PcyM_0004000-t36_1	PcyM_0004000	N/A	0	12.74	0	
PcyM_0004100	PcyM_0004100-t36_1	PcyM_0004100	N/A	0	6.09	0	
PcyM_0004150	PcyM_0004150-t36_1	PcyM_0004150	N/A	0	1.86	0	
PcyM_0004200	PcyM_0004200-t36_1	PcyM_0004200	N/A	0	5.94	0	
PcyM_0004300	PcyM_0004300-t36_1	PcyM_0004300	N/A	0	1.75	1.48	
PcyM_0004400	PcyM_0004400-t36_1	PcyM_0004400	N/A	0	2.32	0	
PcyM_0004500	PcyM_0004500-t36_1	PcyM_0004500	N/A	0	6.96	0	
PcyM_0004600	PcyM_0004600-t36_1	PcyM_0004600	N/A	0	7.51	0	
PcyM_0004700	PcyM_0004700-t36_1	PcyM_0004700	N/A	1.45	14.54	0	
PcyM_0004800	PcyM_0004800-t36_1	PcyM_0004800	N/A	0.16	1.8	0	
