Gene ID	source_id	gene_source_id	P. vivax hynozoite RNAseq - Mixed1 - unique (P. vivax hypnozoite RNA-Seq)	P. vivax hynozoite RNAseq - Mixed2 - unique (P. vivax hypnozoite RNA-Seq)	
PVP01_0000010	PVP01_0000010.1	PVP01_0000010	0	0	
PVP01_0000020	PVP01_0000020.1	PVP01_0000020	0	0	
PVP01_0000030	PVP01_0000030.1	PVP01_0000030	1.05	0.67	
PVP01_0000040	PVP01_0000040.1	PVP01_0000040	0.26	0.74	
PVP01_0000050	PVP01_0000050.1	PVP01_0000050	0.44	0.11	
PVP01_0000060	PVP01_0000060.1	PVP01_0000060	1.11	0.94	
PVP01_0000070	PVP01_0000070.1	PVP01_0000070	0.25	0	
PVP01_0000080	PVP01_0000080.1	PVP01_0000080	1.63	0	
PVP01_0000090	PVP01_0000090.1	PVP01_0000090	0.64	0.64	
PVP01_0000100	PVP01_0000100.1	PVP01_0000100	132.35	210.47	
PVP01_0000110	PVP01_0000110.1	PVP01_0000110	45.39	64.76	
PVP01_0000120	PVP01_0000120.1	PVP01_0000120	0.49	0.41	
PVP01_0000130	PVP01_0000130.1	PVP01_0000130	166.41	116.78	
PVP01_0000140	PVP01_0000140.1	PVP01_0000140	30.64	14.67	
PVP01_0000150	PVP01_0000150.1	PVP01_0000150	0.18	0	
PVP01_0000160	PVP01_0000160.1	PVP01_0000160	1020.23	472.47	
PVP01_0000170	PVP01_0000170.1	PVP01_0000170	1.35	0.53	
PVP01_0000180	PVP01_0000180.1	PVP01_0000180	2.27	0.43	
PVP01_0000190	PVP01_0000190.1	PVP01_0000190	13.33	7.51	
PVP01_0000200	PVP01_0000200.1	PVP01_0000200	127.91	188.89	
PVP01_0000210	PVP01_0000210.1	PVP01_0000210	0.44	0	
PVP01_0000220	PVP01_0000220.1	PVP01_0000220	6.76	4.35	
PVP01_0000230	PVP01_0000230.1	PVP01_0000230	0	0	
PVP01_0000240	PVP01_0000240.1	PVP01_0000240	0	0	
PVP01_0000250	PVP01_0000250.1	PVP01_0000250	0	0	
PVP01_0000260	PVP01_0000260.1	PVP01_0000260	0	0	
PVP01_0000270	PVP01_0000270.1	PVP01_0000270	0	0	
PVP01_0000280	PVP01_0000280.1	PVP01_0000280	0	0	
PVP01_0000290	PVP01_0000290.1	PVP01_0000290	0	0	
PVP01_0000300	PVP01_0000300.1	PVP01_0000300	0.28	0.16	
PVP01_0000310	PVP01_0000310.1	PVP01_0000310	0	0	
PVP01_0000320	PVP01_0000320.1	PVP01_0000320	0	0	
PVP01_0000330	PVP01_0000330.1	PVP01_0000330	0	0	
PVP01_0000340	PVP01_0000340.1	PVP01_0000340	0.09	0.51	
PVP01_0000350	PVP01_0000350.1	PVP01_0000350	0	0	
PVP01_0000360	PVP01_0000360.1	PVP01_0000360	0	0	
PVP01_0000370	PVP01_0000370.1	PVP01_0000370	0	0	
PVP01_0000380	PVP01_0000380.1	PVP01_0000380	0	0	
PVP01_0000390	PVP01_0000390.1	PVP01_0000390	0	0	
PVP01_0000400	PVP01_0000400.1	PVP01_0000400	0	0	
PVP01_0000410	PVP01_0000410.1	PVP01_0000410	0	0	
PVP01_0000420	PVP01_0000420.1	PVP01_0000420	0	0	
PVP01_0000430	PVP01_0000430.1	PVP01_0000430	0	0	
PVP01_0000440	PVP01_0000440.1	PVP01_0000440	0	0	
PVP01_0000450	PVP01_0000450.1	PVP01_0000450	0	0	
PVP01_0000460	PVP01_0000460.1	PVP01_0000460	0	0	
PVP01_0000470	PVP01_0000470.1	PVP01_0000470	0	0	
PVP01_0000480	PVP01_0000480.1	PVP01_0000480	0	0	
PVP01_0000490	PVP01_0000490.1	PVP01_0000490	0	0	
PVP01_0000500	PVP01_0000500.1	PVP01_0000500	0	0	
PVP01_0000510	PVP01_0000510.1	PVP01_0000510	0	0	
PVP01_0000520	PVP01_0000520.1	PVP01_0000520	0	0	
PVP01_0000530	PVP01_0000530.1	PVP01_0000530	0	0	
PVP01_0000540	PVP01_0000540.1	PVP01_0000540	0	0	
PVP01_0000550	PVP01_0000550.1	PVP01_0000550	0	0	
PVP01_0000560	PVP01_0000560.1	PVP01_0000560	0	0	
PVP01_0000570	PVP01_0000570.1	PVP01_0000570	0	0	
PVP01_0000580	PVP01_0000580.1	PVP01_0000580	0	0	
PVP01_0000590	PVP01_0000590.1	PVP01_0000590	0	0	
PVP01_0000600	PVP01_0000600.1	PVP01_0000600	0	0	
PVP01_0000610	PVP01_0000610.1	PVP01_0000610	0	0	
PVP01_0000620	PVP01_0000620.1	PVP01_0000620	0	0	
PVP01_0000630	PVP01_0000630.1	PVP01_0000630	0	0	
PVP01_0000640	PVP01_0000640.1	PVP01_0000640	0	0	
PVP01_0000650	PVP01_0000650.1	PVP01_0000650	0	0	
PVP01_0000660	PVP01_0000660.1	PVP01_0000660	0	0	
PVP01_0000670	PVP01_0000670.1	PVP01_0000670	0	0	
PVP01_0000680	PVP01_0000680.1	PVP01_0000680	0	0	
PVP01_0000690	PVP01_0000690.1	PVP01_0000690	0	0	
PVP01_0000700	PVP01_0000700.1	PVP01_0000700	0	0	
PVP01_0000710	PVP01_0000710.1	PVP01_0000710	0	0	
PVP01_0000720	PVP01_0000720.1	PVP01_0000720	0	0.37	
PVP01_0000730	PVP01_0000730.1	PVP01_0000730	0	0	
PVP01_0000740	PVP01_0000740.1	PVP01_0000740	0	0	
PVP01_0000750	PVP01_0000750.1	PVP01_0000750	0	0	
PVP01_0000760	PVP01_0000760.1	PVP01_0000760	0	0	
PVP01_0000770	PVP01_0000770.1	PVP01_0000770	0	0	
PVP01_0000780	PVP01_0000780.1	PVP01_0000780	0	0	
PVP01_0000790	PVP01_0000790.1	PVP01_0000790	0	0	
PVP01_0000800	PVP01_0000800.1	PVP01_0000800	0	0	
PVP01_0000810	PVP01_0000810.1	PVP01_0000810	0	0	
PVP01_0000820	PVP01_0000820.1	PVP01_0000820	0	0	
PVP01_0000830	PVP01_0000830.1	PVP01_0000830	0	0	
PVP01_0000840	PVP01_0000840.1	PVP01_0000840	0	0	
PVP01_0000850	PVP01_0000850.1	PVP01_0000850	0	0	
PVP01_0000860	PVP01_0000860.1	PVP01_0000860	0	0	
PVP01_0000870	PVP01_0000870.1	PVP01_0000870	0	0	
PVP01_0000880	PVP01_0000880.1	PVP01_0000880	0	0	
PVP01_0000890	PVP01_0000890.1	PVP01_0000890	0	0	
PVP01_0000900	PVP01_0000900.1	PVP01_0000900	0	0	
PVP01_0000910	PVP01_0000910.1	PVP01_0000910	0	0	
PVP01_0000920	PVP01_0000920.1	PVP01_0000920	0	0	
PVP01_0000930	PVP01_0000930.1	PVP01_0000930	0	0	
PVP01_0000940	PVP01_0000940.1	PVP01_0000940	0	0	
PVP01_0000950	PVP01_0000950.1	PVP01_0000950	0	0	
PVP01_0000960	PVP01_0000960.1	PVP01_0000960	0	0	
PVP01_0000970	PVP01_0000970.1	PVP01_0000970	0	0	
PVP01_0000980	PVP01_0000980.1	PVP01_0000980	0	0	
PVP01_0000990	PVP01_0000990.1	PVP01_0000990	0	0	
PVP01_0001000	PVP01_0001000.1	PVP01_0001000	0	0	
PVP01_0001010	PVP01_0001010.1	PVP01_0001010	0	0	
PVP01_0001020	PVP01_0001020.1	PVP01_0001020	0	0	
PVP01_0001030	PVP01_0001030.1	PVP01_0001030	0	0	
