Gene ID	source_id	cl15cy1 - 4H Ring - unique (PbANKA 5Asex_sex RNA-Seq)	cl15cy1 - 16H Trophozoite - unique (PbANKA 5Asex_sex RNA-Seq)	cl15cy1 - 22H Schizont - unique (PbANKA 5Asex_sex RNA-Seq)	cl15cy1 - Gametocyte - unique (PbANKA 5Asex_sex RNA-Seq)	cl15cy1 - Ookinete - unique (PbANKA 5Asex_sex RNA-Seq)	1037cl1 - 4H Ring - unique (PbANKA 5Asex_sex RNA-Seq)	1037cl1 - 16H Trophozoite - unique (PbANKA 5Asex_sex RNA-Seq)	1037cl1 - 22H Schizont - unique (PbANKA 5Asex_sex RNA-Seq)	1037cl1 - Gametocyte - unique (PbANKA 5Asex_sex RNA-Seq)	sense - Control Asexual 0hr - unique only	sense - Control Asexual 6hr - unique only	sense - Control Asexual 12hr - unique only	sense - Control Asexual 18hr - unique only	sense - Control Asexual 24hr - unique only	sense - Control Asexual 30hr - unique only	sense - Induced Gametes 0hr - unique only	sense - Induced Gametes 6hr - unique only	sense - Induced Gametes 12hr - unique only	sense - Induced Gametes 18hr - unique only	sense - Induced Gametes 24hr - unique only	sense - Induced Gametes 30hr - unique only	
PBANKA_0000101	PBANKA_0000101.1	0	0	0.31	0	0	0	0	0	0	0	0.08	0.02	0.02	0.07	0	0.18	0.14	0.08	0	0.11	0.14	
PBANKA_0000201	PBANKA_0000201.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PBANKA_0000301	PBANKA_0000301.1	0.31	0	0	0.97	0.11	0.25	0	0	0.34	0.58	0.61	0.25	0.36	0.24	0.09	0.15	0.35	0.05	0.09	0.47	0.31	
PBANKA_0000401	PBANKA_0000401.1	0	0	0	0	0	0	0	0	0	0.79	2.26	0.4	0.94	0.77	1.24	1.93	2.52	2.16	3.17	3.63	1.57	
PBANKA_0000600	PBANKA_0000600.1	1.7	0	0	0.57	0.48	0.69	0.26	0	0.31	0.42	1.29	0.62	1.8	0.59	1.43	1.24	2.44	1.63	1.51	2.6	0.82	
PBANKA_0000701	PBANKA_0000701.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PBANKA_0000801	PBANKA_0000801.1	0	0	0	0	0	0	0	0	0	0.07	0.02	0	0	0	0	0.03	0	0	0.21	0	0	
PBANKA_0000901	PBANKA_0000901.1	0.1	0	0	0	0	0	0	0	0	0.48	0.68	0.47	0.67	0.26	0.54	0.33	0.89	0.18	0.93	0.5	0.31	
PBANKA_0001001	PBANKA_0001001.1	8.8	5.12	0	26.6	2.89	8.98	8.64	2.71	19.67	3.54	5.8	3.63	4.51	5.57	5.14	9.07	15.19	7.51	7.14	8.67	5.08	
PBANKA_0001101	PBANKA_0001101.1	0.13	1.07	0	0.22	0.17	0.2	0.08	0	0	0.4	0.56	0.13	0.4	0.22	0.98	4.89	5.6	0.82	0.92	1.32	1.02	
