Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_0100100	PF3D7_0100100.1	VAR	PF3D7_0100100	1.24	8.57	226.34	
PF3D7_0100200	PF3D7_0100200.1	RIF	PF3D7_0100200	2.15	0.44	118.77	
PF3D7_0100300	PF3D7_0100300.1	VAR	PF3D7_0100300	2.54	0.27	48.13	
PF3D7_0100400	PF3D7_0100400.1	RIF	PF3D7_0100400	0	0.33	36.42	
PF3D7_0100500	PF3D7_0100500.1	N/A	PF3D7_0100500	3.39	1.3	344.92	
PF3D7_0100600	PF3D7_0100600.1	RIF	PF3D7_0100600	0.35	0.47	140.98	
PF3D7_0100700	PF3D7_0100700.1	N/A	PF3D7_0100700	0	0	14.57	
PF3D7_0100800	PF3D7_0100800.1	RIF	PF3D7_0100800	0	0	27.48	
PF3D7_0100900	PF3D7_0100900.1	RIF	PF3D7_0100900	0	0.21	137.2	
PF3D7_0101000	PF3D7_0101000.1	RIF	PF3D7_0101000	0.35	0.2	71.21	
PF3D7_0101100	PF3D7_0101100.1	EPF4	PF3D7_0101100	0	0.78	13.85	
PF3D7_0101200	PF3D7_0101200.1	EPF3	PF3D7_0101200	0	0.21	4.08	
PF3D7_0101300	PF3D7_0101300.1	MC-2TM	PF3D7_0101300	0.54	0.51	14.19	
PF3D7_0101400	PF3D7_0101400.1	EPF1	PF3D7_0101400	0	0.09	2.56	
PF3D7_0101500	PF3D7_0101500.1	VAR	PF3D7_0101500	0.92	0.04	24.49	
PF3D7_0101600	PF3D7_0101600.1	RIF	PF3D7_0101600	0	0.07	133.22	
PF3D7_0101700	PF3D7_0101700.1	VAR	PF3D7_0101700	0.72	0.11	3.64	
PF3D7_0101800	PF3D7_0101800.1	N/A	PF3D7_0101800	0	0.33	46.68	
PF3D7_0101900	PF3D7_0101900.1	RIF	PF3D7_0101900	1.1	0.21	318.66	
PF3D7_0102000	PF3D7_0102000.1	N/A	PF3D7_0102000	3.63	0	42.88	
PF3D7_0102100	PF3D7_0102100.1	N/A	PF3D7_0102100	5.5	0	22.08	
PF3D7_0102200	PF3D7_0102200.1	RESA	PF3D7_0102200	5.87	0.74	63.85	
PF3D7_0102300	PF3D7_0102300.1	N/A	PF3D7_0102300	0	0.62	42.37	
PF3D7_0102400	PF3D7_0102400.1	N/A	PF3D7_0102400	4.18	0.57	61.79	
PF3D7_0102500	PF3D7_0102500.1	EBA181	PF3D7_0102500	3.54	3.36	117.41	
PF3D7_0102600	PF3D7_0102600.1	FIKK1	PF3D7_0102600	13.42	142.71	201.75	
PF3D7_0102700	PF3D7_0102700.1	MaTrA	PF3D7_0102700	73.35	41.98	73.9	
PF3D7_0102800	PF3D7_0102800.1	N/A	PF3D7_0102800	8.91	66.85	43.37	
PF3D7_0102900	PF3D7_0102900.1	N/A	PF3D7_0102900	3.18	1.24	127.29	
PF3D7_0103000	PF3D7_0103000.1	N/A	PF3D7_0103000	10.23	6.26	67.12	
PF3D7_0103100	PF3D7_0103100.1	VPS51	PF3D7_0103100	2.6	1.07	80.23	
