Gene ID	source_id	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai2 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai3 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai4 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai5 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai6 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai7 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai8 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PvSPZ-Thai9 - unique (Pviv)	Transcriptome of P. vivax salivary gland sporozoites - PfSPZ-1 - unique (Pviv)	
PVP01_0801500	PVP01_0801500.1	1.16	0.32	16.26	33.4	9.8	30.2	9.77	4.61	0	
PVP01_0801600	PVP01_0801600.1	2.87	9.06	13.43	14.32	6.37	29.11	6.6	2.46	0	
PVP01_0803000	PVP01_0803000.1	25.78	41.67	38.67	17.54	41.23	51.11	29.8	46.27	0	
PVP01_0803500	PVP01_0803500.1	22.78	25.48	7.64	11.83	39.55	32.92	28.27	33.1	153.56	
PVP01_0805300	PVP01_0805300.1	17.15	65.08	25.76	21.89	16.03	40.09	9.01	32.11	0	
PVP01_0805600	PVP01_0805600.1	30.75	37.79	18.03	5.48	34.9	47.8	43.25	43.73	0	
PVP01_0806400	PVP01_0806400.1	15.85	40.68	28.23	48.28	6.2	11.88	5.16	9.97	0	
PVP01_0806600	PVP01_0806600.1	301.56	385.64	343.26	358.3	426.34	269.55	279.38	291.15	0	
PVP01_0806900	PVP01_0806900.1	688.01	585.52	918.67	884.88	778.76	577.45	921.99	637.87	0	
PVP01_0807000	PVP01_0807000.1	14.75	4.17	14.8	6.84	40.84	22.7	21.78	8.55	0	
PVP01_0807500	PVP01_0807500.1	13.62	37.43	12.26	23.98	11.25	32.47	2.91	13.41	0	
PVP01_0808300	PVP01_0808300.1	299.51	543.47	626.37	693.08	209.83	110.39	104.75	233.05	0	
PVP01_0808700	PVP01_0808700.1	1.92	0	8.16	0	1.06	57.33	0.43	0.53	0	
PVP01_0809700	PVP01_0809700.1	1.46	2.81	4.57	22.11	2.69	10.55	1.93	3.97	0	
PVP01_0810200	PVP01_0810200.1	266.8	264.04	241.96	282.63	350.31	279.51	388.28	368.96	0	
PVP01_0811000	PVP01_0811000.1	1.84	9	2.86	0	4.43	40.14	5.22	3.43	0	
PVP01_0812100	PVP01_0812100.1	42.97	103.55	120.75	85.65	64.31	44.18	60.5	66.64	0	
