Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - BM_Mmul_RIc14 Day21 TP2 - unique only	sense - BM_Mmul_RSb14 Day21 TP2 - unique only	sense - BM_Mmul_RMe14 Day20 TP2 - unique only	sense - BM_Mmul_RFa14 Day18 TP2 - unique only	sense - BM_Mmul_RFv13 Day18 TP2 - unique only	sense - BM_Mmul_RIc14 Day26 TP3 - unique only	sense - BM_Mmul_RSb14 Day26 TP3 - unique only	sense - BM_Mmul_RFa14 Day26 TP3 - unique only	sense - BM_Mmul_RSb14 Day63 TP4 - unique only	sense - BM_Mmul_RFa14 Day63 TP4 - unique only	sense - BM_Mmul_RSb14 Day91 TP6 - unique only	sense - BM_Mmul_RFa14 Day97 TP7 - unique only	sense - WB_Mmul_RIc14 Day21 TP2 - unique only	sense - WB_Mmul_RSb14 Day21 TP2 - unique only	sense - WB_Mmul_RMe14 Day20 TP2 - unique only	sense - WB_Mmul_RFa14 Day18 TP2 - unique only	sense - WB_Mmul_RIc14 Day26 TP3 - unique only	sense - WB_Mmul_RSb14 Day26 TP3 - unique only	sense - WB_Mmul_RMe14 Day26 TP3 - unique only	sense - WB_Mmul_RFa14 Day26 TP3 - unique only	sense - WB_Mmul_RSb14 Day63 TP4 - unique only	sense - WB_Mmul_RFa14 Day63 TP4 - unique only	sense - WB_Mmul_RSb14 Day91 TP6 - unique only	sense - WB_Mmul_RFa14 Day97 TP7 - unique only	antisense - BM_Mmul_RIc14 Day21 TP2 - unique only	antisense - BM_Mmul_RSb14 Day21 TP2 - unique only	antisense - BM_Mmul_RMe14 Day20 TP2 - unique only	antisense - BM_Mmul_RFa14 Day18 TP2 - unique only	antisense - BM_Mmul_RFv13 Day18 TP2 - unique only	antisense - BM_Mmul_RIc14 Day26 TP3 - unique only	antisense - BM_Mmul_RSb14 Day26 TP3 - unique only	antisense - BM_Mmul_RFa14 Day26 TP3 - unique only	antisense - BM_Mmul_RSb14 Day63 TP4 - unique only	antisense - BM_Mmul_RFa14 Day63 TP4 - unique only	antisense - BM_Mmul_RSb14 Day91 TP6 - unique only	antisense - BM_Mmul_RFa14 Day97 TP7 - unique only	antisense - WB_Mmul_RIc14 Day21 TP2 - unique only	antisense - WB_Mmul_RSb14 Day21 TP2 - unique only	antisense - WB_Mmul_RMe14 Day20 TP2 - unique only	antisense - WB_Mmul_RFa14 Day18 TP2 - unique only	antisense - WB_Mmul_RIc14 Day26 TP3 - unique only	antisense - WB_Mmul_RSb14 Day26 TP3 - unique only	antisense - WB_Mmul_RMe14 Day26 TP3 - unique only	antisense - WB_Mmul_RFa14 Day26 TP3 - unique only	antisense - WB_Mmul_RSb14 Day63 TP4 - unique only	antisense - WB_Mmul_RFa14 Day63 TP4 - unique only	antisense - WB_Mmul_RSb14 Day91 TP6 - unique only	antisense - WB_Mmul_RFa14 Day97 TP7 - unique only	sense - BM_Mmul_RIc14 Day21 TP2	sense - BM_Mmul_RSb14 Day21 TP2	sense - BM_Mmul_RMe14 Day20 TP2	sense - BM_Mmul_RFa14 Day18 TP2	sense - BM_Mmul_RFv13 Day18 TP2	sense - BM_Mmul_RIc14 Day26 TP3	sense - BM_Mmul_RSb14 Day26 TP3	sense - BM_Mmul_RFa14 Day26 TP3	sense - BM_Mmul_RSb14 Day63 TP4	sense - BM_Mmul_RFa14 Day63 TP4	sense - BM_Mmul_RSb14 Day91 TP6	sense - BM_Mmul_RFa14 Day97 TP7	sense - WB_Mmul_RIc14 Day21 TP2	sense - WB_Mmul_RSb14 Day21 TP2	sense - WB_Mmul_RMe14 Day20 TP2	sense - WB_Mmul_RFa14 Day18 TP2	sense - WB_Mmul_RIc14 Day26 TP3	sense - WB_Mmul_RSb14 Day26 TP3	sense - WB_Mmul_RMe14 Day26 TP3	sense - WB_Mmul_RFa14 Day26 TP3	sense - WB_Mmul_RSb14 Day63 TP4	sense - WB_Mmul_RFa14 Day63 TP4	sense - WB_Mmul_RSb14 Day91 TP6	sense - WB_Mmul_RFa14 Day97 TP7	antisense - BM_Mmul_RIc14 Day21 TP2	antisense - BM_Mmul_RSb14 Day21 TP2	antisense - BM_Mmul_RMe14 Day20 TP2	antisense - BM_Mmul_RFa14 Day18 TP2	antisense - BM_Mmul_RFv13 Day18 TP2	antisense - BM_Mmul_RIc14 Day26 TP3	antisense - BM_Mmul_RSb14 Day26 TP3	antisense - BM_Mmul_RFa14 Day26 TP3	antisense - BM_Mmul_RSb14 Day63 TP4	antisense - BM_Mmul_RFa14 Day63 TP4	antisense - BM_Mmul_RSb14 Day91 TP6	antisense - BM_Mmul_RFa14 Day97 TP7	antisense - WB_Mmul_RIc14 Day21 TP2	antisense - WB_Mmul_RSb14 Day21 TP2	antisense - WB_Mmul_RMe14 Day20 TP2	antisense - WB_Mmul_RFa14 Day18 TP2	antisense - WB_Mmul_RIc14 Day26 TP3	antisense - WB_Mmul_RSb14 Day26 TP3	antisense - WB_Mmul_RMe14 Day26 TP3	antisense - WB_Mmul_RFa14 Day26 TP3	antisense - WB_Mmul_RSb14 Day63 TP4	antisense - WB_Mmul_RFa14 Day63 TP4	antisense - WB_Mmul_RSb14 Day91 TP6	antisense - WB_Mmul_RFa14 Day97 TP7	
PcyM_0000100	PcyM_0000100-t36_1	N/A	PcyM_0000100	4.83	3.05	0	0.52	0.35	0	19.58	0.82	0	0	0	0	2.19	0.32	1.13	0.54	0.79	0.47	9.03	0	0	4.4	0	0	0	0	0	0	0	0	0	0	0	9.63	0	0	0	0	0	0	0	0	9.03	0	0	0	0	0	66.89	37.72	96.67	50.97	28.96	0	203.53	62.37	46.7	7.94	52.77	45.06	78.39	27.76	113.71	127.26	37.27	57.32	26.13	39.63	28.1	46.13	29.02	31	0	0	0	0.51	0	0	0	0.8	0	15.88	0	0	0	0	0.14	0	0	0.15	8.71	0	0	0	2.07	0	
PcyM_0000200	PcyM_0000200-t36_1	N/A	PcyM_0000200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.06	0	0	0	0	0	0	0	0	1.64	0	2.28	1.61	0.59	0	0	0.84	3.84	0	0	5.43	0	0.49	0.36	0.28	0	0.32	0	0	0	0	0	0	0.53	0	4.39	0	0	8.17	0	0.82	0	0	0	0	0	0	0.07	0.05	0	0	0	0	0	0	0	0	1.59	0	2.2	1.58	0.58	0	0	0.82	3.67	0	0	5.12	0	0.48	0.35	0.27	0	0.48	0	0	0	0	0	0	
PcyM_0000300	PcyM_0000300-t36_1	N/A	PcyM_0000300	16.7	18.04	10.78	11.69	15.58	4.38	15.77	19.48	14.13	25.87	18.25	28.54	11.17	14.62	13.65	12.63	7.18	10.9	0	21.89	15.2	9.46	13.63	24.21	0.86	1.64	2.4	1.41	0.62	17.52	0	0.44	0	5.17	0	0	1.47	0.61	0.57	0.17	0.21	1.77	0	0.39	0.71	0	0	1.27	25.62	24.94	16.15	18.94	23.21	8.58	39.75	27.06	21.22	21.32	20.78	26.89	21.05	22.19	20.1	21.66	11.88	15.98	0	29.57	16.95	18.02	16.7	30.22	1.39	4.68	2.31	1.38	0.67	17.16	9.94	0.43	0	8.53	1.89	0	1.44	0.59	0.69	0.23	0.42	1.83	0	0.39	0.7	0	3.34	1.23	
PcyM_0000350	PcyM_0000350-t36_1	N/A	PcyM_0000350	0.87	0	0	1.49	0.28	0	0	1.34	0	0	0	0	0.44	0.26	0.4	0.4	0	0.89	0	0.15	0.36	0	0	0	0.44	0	0	0	0	0	0	0	3.05	0	6.13	0	0	0.52	0.29	0.22	0	0.51	0	0.45	0.36	0	0	0	1.26	0	0	1.46	0.28	0	0	1.3	0	0	0	0	0.44	0.38	0.39	0.39	0	0.88	0	0.15	0.35	0	1.68	0	0.84	0	1.74	0	0	0	0	0	2.92	0	5.71	0	0	0.51	0.28	0.22	0	0.5	7.07	0.44	0.7	0	0	0	
PcyM_0000400	PcyM_0000400-t36_1	N/A	PcyM_0000400	11.33	8.07	4.42	9.53	4.22	5.39	25.87	8.17	7.45	0	2.49	7.02	8.68	7.66	9.44	11.45	8.06	9.88	0	11.47	10.22	5.82	2.79	7.84	1.42	0	0	0.52	0.08	0	0	1.09	0	0	0	0	0.72	0.85	0.33	0.5	0.26	0.42	0	0.36	1.17	2.91	0	0	12.33	9.58	5.68	10.54	5.31	5.28	30.56	11.62	9.49	0	2.32	6.61	12.06	9.69	10.95	12.95	12.56	11.77	0	12.32	11.42	11.08	6.85	10.62	1.37	0	0	0.85	0.15	0	0	1.06	0	0	0	0	1.06	0.83	0.36	0.63	0.77	0.41	0	0.36	1.14	2.77	0	0	
PcyM_0000500	PcyM_0000500-t36_1	N/A	PcyM_0000500	18.9	19.69	11.51	6.31	7.38	17.53	8.42	27.29	24.23	20.71	12.99	22.85	7.77	9.07	8.41	9.29	9.64	8.25	15.52	18.62	13.69	22.71	7.27	22.44	1.61	1.31	1.92	1.47	3.04	7.01	4.21	4.25	3.23	8.28	3.25	4.57	0.94	0.76	1.97	1.35	0.17	0.95	0	0.47	0.19	0	2.73	0.51	19.84	18.71	11.08	6.53	7.54	17.17	7.95	27.16	23.16	17.07	12.1	23.68	8.54	9.15	8.53	9.39	9.51	8.53	14.98	18.43	13.75	21.64	8.02	23.2	1.56	1.25	1.85	1.55	2.97	6.87	11.93	4.13	3.09	6.83	3.02	4.3	0.92	0.75	1.9	1.37	0.17	0.93	0	0.46	0.19	1.8	2.67	0.49	
PcyM_0000600	PcyM_0000600-t36_1	N/A	PcyM_0000600	5.38	10.71	6.71	5	2.68	0	0	3.31	13.19	19.32	5.68	7.99	4.94	6.95	5.05	5.81	2.96	4.81	13.58	8.89	9.09	22.07	3.18	8.92	1.08	6.12	1.12	0	0.06	0	0	0.41	0	4.83	1.89	5.33	0	0	0.07	0.05	0.2	0	9.05	0	0	0	0	0	5.46	10.18	6.46	5.16	2.61	0	0	3.61	12.61	15.92	5.29	7.53	4.85	6.88	5.01	5.69	2.92	4.74	13.1	8.81	8.89	21.03	3.12	8.64	1.04	7.27	1.08	0	0.11	0	0	0.4	0	3.98	1.76	5.02	0	0	0.07	0.05	0.19	0	8.74	0	0	0	0	0	
PcyM_0000650	PcyM_0000650-t36_1	N/A	PcyM_0000650	3.73	2.13	3.11	2.37	0.4	0	6.82	2.3	0	6.71	2.63	0	3.43	1.23	3.38	3.32	0.82	1.42	0	1.15	1.85	12.26	0	0	0.37	0	0	0	0.08	0	0	0	0	0	0	3.7	0	0	0.15	0	0	0	0	0	0	0	0	1.65	3.61	2.02	2.99	2.33	0.47	0	6.44	2.23	0	5.53	2.45	0	3.36	1.21	3.26	3.32	0.81	1.4	0	1.12	1.81	11.68	0	0	0.36	0	0	0	0.08	0	0	0	0	5.53	0	3.49	0	0	0.14	0	0	0	0	0	0	0	0	1.6	
PcyM_0000700	PcyM_0000700-t36_1	N/A	PcyM_0000700	2.07	4.72	5.18	2.84	2.06	0	15.15	3.83	5.81	0	0	0	4.66	3.61	8.01	8.05	2.13	4.87	0	5.09	4.1	0	1.64	4.59	0	2.36	0	0.2	0.36	0	0	0	0	0	0	0	0.42	0.25	0.16	0.34	0	0	0	0.28	0	0	0	0.92	2.01	4.49	4.98	2.79	2.27	0	14.31	5.57	5.56	0	0	0	4.57	3.9	8.3	8.45	2.1	5.03	0	5.13	4.35	0	1.6	4.44	0	2.24	0	0.2	0.35	0	0	0	0	0	0	0	0.42	0.24	0.21	0.33	0	0	0	0.28	0	0	0	1.78	
PcyM_0000800	PcyM_0000800-t36_1	N/A	PcyM_0000800	6.74	5.23	3.82	4.04	2.25	18.63	5.59	5.18	2.15	5.5	0	3.03	6.25	2.3	8.6	7.45	1.35	3.68	0	4.28	2.53	2.51	0	2.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.03	0	0	0	0	0	0	0	0	6.51	4.97	3.68	3.97	2.26	18.25	5.28	5.02	2.05	4.53	0	2.86	6.13	2.43	8.46	7.38	1.33	3.72	0	4.2	2.47	2.39	0	2.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.03	0	0	0	0	0	0	0	0	
