Gene ID	source_id	smru1 - smru1 6 hours - unique (intraerythrocytic cycle)	smru1 - smru1 18 hours - unique (intraerythrocytic cycle)	smru1 - smru1 24 hours - unique (intraerythrocytic cycle)	smru1 - smru1 30 hours - unique (intraerythrocytic cycle)	smru1 - smru1 36 hours - unique (intraerythrocytic cycle)	smru1 - smru1 48 hours - unique (intraerythrocytic cycle)	smru1 - smru1 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 6 hours - unique (intraerythrocytic cycle)	smru2 - smru2 12 hours - unique (intraerythrocytic cycle)	smru2 - smru2 18 hours - unique (intraerythrocytic cycle)	smru2 - smru2 24 hours - unique (intraerythrocytic cycle)	smru2 - smru2 30 hours - unique (intraerythrocytic cycle)	smru2 - smru2 36 hours - unique (intraerythrocytic cycle)	smru2 - smru2 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 48 hours - unique (intraerythrocytic cycle)	
PVP01_0801500	PVP01_0801500.1	205.59	110.17	67.43	26.23	21.92	772.1	532.01	183.72	331.11	200.69	92.31	36.34	282.31	748.53	638.01	
PVP01_0801600	PVP01_0801600.1	873.19	602.7	486.61	267.76	93.33	1542.22	965.38	591.96	1069.15	731.15	457.13	199.92	626.64	1473.07	1200.27	
PVP01_0803000	PVP01_0803000.1	11.49	69.63	79.93	18.39	9.08	33.09	17.48	16.77	54.28	78.1	39.88	11.17	6.62	16.29	33.04	
PVP01_0803500	PVP01_0803500.1	62.66	72.94	61.17	29.45	36.38	63.17	49.63	48.83	67.63	73.88	43.86	28.25	31.38	47.6	68.5	
PVP01_0805300	PVP01_0805300.1	68.97	57.88	54.78	47.42	24.71	16.71	18	41.74	48.68	45.66	48.19	39.34	26.5	18.1	26.52	
PVP01_0805600	PVP01_0805600.1	12.76	62.97	70.94	76.76	37.75	16.62	18.22	34.84	55.13	57.11	74.96	59	31.72	16.88	14.7	
PVP01_0806400	PVP01_0806400.1	151.33	106.2	85.06	43.41	29.64	97.14	52.94	105.58	113.27	101.74	82.5	37.39	49.86	59.32	88.67	
PVP01_0806600	PVP01_0806600.1	121.02	89	90.67	201.49	321.36	263.49	256.14	178.24	72.78	74.38	129.22	299.5	283.2	205.29	227.08	
PVP01_0806900	PVP01_0806900.1	14.05	31.81	43.69	104.94	164.88	60.95	79.23	64.73	17.23	34.43	74.06	141.52	102.36	55.71	56.64	
PVP01_0807000	PVP01_0807000.1	5.27	3.07	5.84	3.63	37.71	35.09	76.55	4.86	3.58	4.85	5.01	26.02	70.48	85	52.25	
PVP01_0807500	PVP01_0807500.1	16.41	11.79	22.56	13.43	19.04	37.63	26.08	8.63	11.56	11.95	14.24	14.76	17.88	25.58	30.25	
PVP01_0808300	PVP01_0808300.1	2.32	1.31	1.16	0.72	1.81	10.41	3.62	1.24	0.53	0.64	1.61	1.84	1.43	2.82	9.3	
PVP01_0808700	PVP01_0808700.1	0.65	1.54	1.14	1.42	7.69	84.56	79.8	0.81	17.24	1.89	0.45	2.25	39.78	111.74	95.03	
PVP01_0809700	PVP01_0809700.1	7.08	3.05	2.54	5.62	63.4	43.73	78.56	15.7	2.85	0.94	3.8	35.09	69.78	75.3	40.1	
PVP01_0810200	PVP01_0810200.1	23.45	40.23	37.11	79.9	38.08	30.09	21	50.44	41.91	44.43	85.76	64.74	38.04	29.8	32.89	
PVP01_0811000	PVP01_0811000.1	2.94	16.68	28.4	12.85	9.4	11.56	6.33	7.67	13.83	24.3	17.03	5.79	7.21	9.39	11.76	
PVP01_0812100	PVP01_0812100.1	41.31	38.12	35.72	57.26	59.58	30.33	35.84	51.44	32.8	31.35	50.56	68.86	48.8	35.97	43.02	
PVP01_0812200	PVP01_0812200.1	17.73	50.66	39.23	11.88	26.47	14.56	25.6	35.3	43.17	57.54	28.26	27.15	29.94	28.29	26.22	
PVP01_0815700	PVP01_0815700.1	184.43	225.24	64.89	36.57	27.1	29.06	17.64	219.43	254.33	111.19	35.19	31.57	35.74	33.16	41.49	
PVP01_0816000	PVP01_0816000.1	5022.78	5061.29	2895.65	1025.97	392.37	251.02	238.62	4332.87	5087.57	3912.2	1855.58	836.1	534.54	465.59	550.99	
PVP01_0816600	PVP01_0816600.1	92.51	119.29	127.95	101.23	52.84	26.59	29.1	83.67	120.76	141.7	147.15	76.66	41.19	32.71	37.38	
PVP01_0817200	PVP01_0817200.1	495.53	452.51	510.08	819.72	898.27	335.99	540.57	810.52	532.87	537.99	843.99	1094.41	938.53	481.18	398.28	
PVP01_0817700	PVP01_0817700.1	39.72	38.18	41.17	27.1	14	28.36	14.78	32.47	34.9	35.07	33.85	22.57	16.38	13.44	29.67	
PVP01_0819000	PVP01_0819000.1	17.8	27.15	23.23	21.23	30.2	22.1	11.5	25.11	31.33	23.31	22.7	40.82	30.03	16.73	35.71	
PVP01_0820300	PVP01_0820300.1	88.05	53.88	59.27	34.1	38.86	158.82	76.66	44.42	48.03	53.51	42.98	25.25	42.69	74.31	109.29	
PVP01_0820500	PVP01_0820500.1	64.56	67.71	60.77	13.31	8.43	29.58	35.66	55.55	70.64	62.07	35.06	12.83	23.39	42.11	40.6	
PVP01_0820600	PVP01_0820600.1	513.24	623.86	703.41	973.29	600.84	93.15	201.14	776.29	620.8	560.17	824.12	919.54	453.59	172.01	112.95	
PVP01_0820900	PVP01_0820900.1	105.14	75.63	56.24	25.25	7.67	10.73	6.26	68.4	71.12	63.3	31.39	10.22	9.99	10.06	20.88	
PVP01_0821600	PVP01_0821600.1	5.07	6.9	7.55	7.13	28.29	29.52	52.84	6.6	5.11	6.2	7.07	15.18	33.86	44.72	29.59	
PVP01_0822000	PVP01_0822000.1	84.88	84.98	43	16.98	5.59	6.3	3.28	84.65	94.93	61.82	19.64	12.12	13.85	7.02	12.91	
PVP01_0822200	PVP01_0822200.1	13.33	35.19	26.41	8.73	5.59	7.12	5.56	18.68	27.91	27.44	13.88	6.85	3.68	4.82	6.75	
PVP01_0823500	PVP01_0823500.1	235.59	222.02	214.62	231.26	192.25	74.52	106.46	198.62	200.57	205.75	196.49	188.33	142.04	79.12	70.5	
PVP01_0824000	PVP01_0824000.1	28.65	79.87	88.6	39.8	20.43	28.23	28.43	33.23	64.17	87.5	50.62	25.32	31.95	29.91	38.87	
PVP01_0824100	PVP01_0824100.1	8.09	17.47	22.22	14.12	19.67	51.65	66.33	6.07	29.52	17.28	11.98	11.98	44.24	64.79	61.64	
PVP01_0825000	PVP01_0825000.1	322.97	270.55	306.64	239.88	143.56	154.52	120.09	292.58	308.5	292.72	326.27	216.56	151.36	111.34	140.81	
PVP01_0825100	PVP01_0825100.1	9.4	347.36	332.86	181.97	58.48	24.17	39.87	74.87	311.87	483.2	346.03	90.25	54.65	39.1	51.51	
PVP01_0829000	PVP01_0829000.1	37.92	33.37	31.42	13.09	5.59	5.12	3.62	25.27	26.65	26.32	19	10.14	5.85	6.93	7.41	
PVP01_0829300	PVP01_0829300.1	32.21	33.29	37.11	52.4	94.09	71.76	68.32	28.84	20.18	25.56	36.98	68.14	59.84	48.59	45.12	
PVP01_0829400	PVP01_0829400.1	315.48	357.63	311.71	198.21	196.5	161.95	198.52	337.88	370.53	319.81	271.36	245.82	273.85	242.23	198.09	
PVP01_0829800	PVP01_0829800.1	1.95	7.36	5.14	76.89	119.87	13.92	44.86	57.69	6.17	5.25	22.84	93.47	63.32	21.09	11.93	
PVP01_0830700	PVP01_0830700.1	90.15	132.93	137.8	98.71	24.14	7.58	8.48	87.95	96.35	107.36	99.14	44.8	23.1	12.31	11.7	
PVP01_0831100	PVP01_0831100.1	82.67	43.56	49.19	74.12	69.12	173.91	101.57	171.76	131.56	144.32	169.44	209.15	175.14	125.6	161.05	
PVP01_0832400	PVP01_0832400.1	12.43	53.1	41.98	7.51	3.86	3.12	2.62	18.36	28.97	36.73	14.87	4.22	2.06	0.84	4.89	
PVP01_0832600	PVP01_0832600.1	8.08	24.24	46.28	47.75	26.89	27.45	27.6	16.81	17.04	35.32	52.32	33.02	20.13	19.72	21.81	
PVP01_0832700	PVP01_0832700.1	18.4	69.81	130.92	143.46	60.89	49.96	49.56	56.23	58.84	112.82	171.9	121.58	63.12	38.02	50.03	
PVP01_0834300	PVP01_0834300.1	18.07	33.08	56.71	41.52	35.56	40.33	32.09	18.44	26.04	46.18	54.14	44.25	30.4	18.21	24.74	
PVP01_0835800	PVP01_0835800.1	2013.48	1789.66	1505.76	1371.58	786.8	217.32	316.57	2095.36	1941.18	1688.13	1539.03	1322.59	659.44	351.41	319.84	
PVP01_0836300	PVP01_0836300.1	158.05	114.69	99.21	101.81	100.83	516.86	216.82	61.59	73.72	116.58	97.13	74.38	142.5	231.47	388.51	
PVP01_0840400	PVP01_0840400.1	0	0	0	0	0	0.71	0	1.13	0.73	0	0	0	0	0.96	1.24	
PVP01_0841000	PVP01_0841000.1	3.44	3.62	1.51	0.63	0.26	1.12	1.14	8.24	8.76	8.07	10.54	4.38	3.22	4.87	4.9	
PVP01_0100100	PVP01_0100100.1	0	0	0	0	0	0	0	9.4	12.74	6.91	7.69	2.2	6.83	5.05	8.67	
PVP01_0100700	PVP01_0100700.1	0	1.02	0.38	0.47	0.39	0	0	0.54	0.69	0	0	0	0	0	0	
PVP01_0101800	PVP01_0101800.1	7.79	3.32	0.53	0	0.55	0	0.2	4.75	3.86	2.13	0.83	0.14	0.86	0.64	1.78	
PVP01_0102800	PVP01_0102800.1	2.86	0.41	0.46	0.28	0.95	11.23	2.84	1.14	1.05	1.01	0.54	0.54	2.7	7.74	18.16	
PVP01_0103700	PVP01_0103700.1	342.49	447.15	423.64	314.88	172.36	123.01	105.66	328.85	418.43	428.16	382.58	250.57	165.76	123.84	173.73	
PVP01_0104500	PVP01_0104500.1	6.36	25.87	35.7	62.53	149.85	35.61	92.47	66.24	29.05	38.03	50.8	130.92	165.22	75.08	46.28	
PVP01_0105700	PVP01_0105700.1	73.29	83.05	102.05	121.45	167.77	68.65	114.46	115.98	80.39	85.06	123.69	170.03	153.85	103.32	81.23	
PVP01_0107700	PVP01_0107700.1	8.62	15.31	34.4	45.82	38.74	36.11	34.59	16.41	13.08	19.78	40.24	45.98	28.92	29.63	32.5	
PVP01_0108300	PVP01_0108300.1	229.74	174.43	106.03	118.78	130.96	226.72	157.48	138.98	119.28	121.82	124.86	135.41	107.06	147.88	162.47	
PVP01_0108600	PVP01_0108600.1	117.42	131.53	129.49	106.93	53.87	61.1	34.31	111.75	119.49	126.61	116.02	69.54	41.69	42.14	50.8	
PVP01_0110100	PVP01_0110100.1	200.5	115.39	64.77	45.59	104.26	159.88	117.8	168.6	144.1	86.25	58.91	98.02	114.71	125.79	135.47	
PVP01_0111300	PVP01_0111300.1	14.11	39.53	46.85	17.73	9.75	9.4	9.33	17.65	28.57	42.76	33.83	15.14	11.08	7.27	12.88	
PVP01_0111500	PVP01_0111500.1	286.76	250.06	186.56	43.42	22.78	276.79	260.68	182.27	224.21	173.37	78.35	37.26	112.67	256.77	240.67	
PVP01_0111800	PVP01_0111800.1	81.49	92.07	70.88	30.12	12.88	26.62	14.66	57.5	80.49	59.09	54.31	20.98	14.83	18.72	26.63	
PVP01_0112000	PVP01_0112000.1	184.99	217.49	184.65	255.25	265.28	95.03	146.04	222.69	180.35	202.24	204.75	239.98	164.82	93.42	90.41	
PVP01_0112200	PVP01_0112200.1	24.49	6.13	6.52	6.77	20.64	93.99	94.14	6.59	20.47	5.42	8.18	15.5	49.28	119.03	93.19	
PVP01_0113400	PVP01_0113400.1	144.12	165.75	146.43	68.25	41.03	49.11	40.1	90.15	111.14	106.63	95.81	44.48	35.57	28.38	43.85	
PVP01_0113600	PVP01_0113600.1	156.7	176.18	184.26	208.48	294.32	135.52	188.5	162.39	128.68	134.76	141.57	209.15	191.5	134.93	111.18	
PVP01_0114000	PVP01_0114000.1	78.42	96.65	97.17	51.96	37.83	219.2	207.96	62.89	138.22	86.89	69.66	44.03	100.5	230.87	169.05	
PVP01_0114800	PVP01_0114800.1	37	22	61.02	291.77	400.35	112.11	187.1	155.52	17.24	35.35	146.26	363.35	258.96	125.13	100.18	
PVP01_0116100	PVP01_0116100.1	28.45	46.51	53.07	44.22	16.49	12.69	12.44	27.75	38.06	46.6	56.75	24.45	18.54	14.36	15.02	
PVP01_0116700	PVP01_0116700.1	23.98	27.46	18	9.4	9.56	39.81	54	15.54	23.82	14.64	11.46	6.28	28.65	66.58	46.69	
PVP01_0120900	PVP01_0120900.1	8.39	4.42	2.45	2.55	0.85	2.56	0.93	3.5	4.13	2.72	0.32	1.62	1.21	0.99	2.24	
PVP01_0121000	PVP01_0121000.1	1.1	0.29	0.32	0.4	0	0.29	0	1.15	0.89	1.43	1.02	0	0.63	1.17	0.5	
PVP01_0121200	PVP01_0121200.1	5.17	1.49	2.47	1.03	0.86	0.74	0.47	1.18	1.51	1.83	0	0.98	0.41	0.5	1.61	
PVP01_0122200	PVP01_0122200.1	13.2	9.51	4.43	1.27	0.71	1.22	1.16	17.73	20.63	17.72	8.89	3.51	3.69	4.96	8.51	
PVP01_0900100	PVP01_0900100.1	1.89	2	0.55	0	0.58	0.5	0.63	2.77	0	2.45	0.44	0	0	0	0.43	
PVP01_0900200	PVP01_0900200.1	1.19	0	0.52	0	0	1.4	0	1.12	0.96	0	0	0	0	0	0	
PVP01_0900400	PVP01_0900400.1	0.59	0	0	0	0	0	0	2.6	0.48	1.73	0.82	0	0	0	0	
PVP01_0900800	PVP01_0900800.1	2.92	1.38	0.51	0.64	0	1.38	0.58	0.37	3.76	1.13	1.62	0.41	5.04	9.31	5.2	
PVP01_0901500	PVP01_0901500.1	37.41	22.79	15.06	12.05	3.92	17.34	9.74	22.64	17.78	21.44	21.72	5.11	10.6	9.78	15.12	
PVP01_0902200	PVP01_0902200.1	67.71	17.84	34.63	13.55	1.03	16.84	7.84	2.82	1.82	2.19	1.57	0.78	0	0	0	
PVP01_0902300	PVP01_0902300.1	35.31	15.6	7.29	4.53	1.89	14.68	13.4	133.82	142.17	113.96	76.42	37.51	42.16	61.85	67.55	
PVP01_0903400	PVP01_0903400.1	0	1.02	2.83	1.41	1.77	6.09	9.62	0.4	5.72	1.25	1.35	0.45	3.91	5.5	3.98	
PVP01_0903800	PVP01_0903800.1	285.82	194.32	171.19	396.47	474.42	292.95	332.57	503.1	326.06	265.17	417.51	731.97	577.94	403.94	370.13	
PVP01_0904600	PVP01_0904600.1	43.61	59.71	60.17	33.03	15.38	24.62	17.56	39.4	60.75	61.26	50.18	21.8	19.3	20.61	28.03	
PVP01_0904700	PVP01_0904700.1	122.87	205.03	136.46	149.01	79.69	92.2	94.82	140.05	169.29	135.22	176.28	89.12	89.62	107.44	100.95	
PVP01_0905300	PVP01_0905300.1	8.78	7.16	4.33	1.8	28.03	52.79	35.94	6.69	5.52	5.6	4.38	11.05	21.33	30.64	36.63	
PVP01_0905700	PVP01_0905700.1	6.8	2.69	6.19	6.28	47.69	46.51	97.02	7.77	3.58	4.95	8.71	27.05	63.35	78.41	38.84	
PVP01_0906100	PVP01_0906100.1	9.04	7.14	33.84	244.23	479.88	64.46	178.15	179.23	5.7	16.37	94.12	344.72	255.53	89.89	55.86	
PVP01_0906600	PVP01_0906600.1	203.52	211.99	230.71	153.63	131.26	103.57	100.03	200.27	210.34	192.09	206.87	184.93	128.16	74.85	117.2	
PVP01_0909000	PVP01_0909000.1	55.4	89.2	91.76	16.8	12.16	8.86	7.13	60.32	96.66	102.62	53.42	18.53	9.75	10.91	29.5	
