Gene ID	source_id	Input Ortholog(s)	
PF3D7_0102900	PF3D7_0102900.1	PBANKA_0210200	
PF3D7_0103000	PF3D7_0103000.1	PBANKA_0210100	
PF3D7_0103100	PF3D7_0103100.1	PBANKA_0210000	
PF3D7_0103200	PF3D7_0103200.1	PBANKA_0209900	
PF3D7_0103400	PF3D7_0103400.1	PBANKA_0209700	
PF3D7_0103500	PF3D7_0103500.1	PBANKA_0209600	
PF3D7_0103700	PF3D7_0103700.1	PBANKA_0209400	
PF3D7_0103800	PF3D7_0103800.1	PBANKA_0209300	
PF3D7_0103900	PF3D7_0103900.1	PBANKA_0209200	
PF3D7_0104000	PF3D7_0104000.1	PBANKA_0209100	
PF3D7_0104100	PF3D7_0104100.1	PBANKA_0209000	
PF3D7_0104200	PF3D7_0104200.1	PBANKA_0208900	
PF3D7_0104400	PF3D7_0104400.1	PBANKA_0208700	
PF3D7_0104500	PF3D7_0104500.1	PBANKA_0208600	
PF3D7_0104700	PF3D7_0104700.1	PBANKA_0208400	
PF3D7_0104800	PF3D7_0104800.1	PBANKA_0208300	
PF3D7_0105100	PF3D7_0105100.1	PBANKA_0208200	
PF3D7_0105200	PF3D7_0105200.1	PBANKA_0208100	
PF3D7_0105300	PF3D7_0105300.1	PBANKA_0208000	
PF3D7_0105400	PF3D7_0105400.2	PBANKA_0207900	
PF3D7_0105400	PF3D7_0105400.1	PBANKA_0207900	
PF3D7_0105500	PF3D7_0105500.1	PBANKA_0207800	
PF3D7_0105600	PF3D7_0105600.1	PBANKA_0207700	
PF3D7_0105800	PF3D7_0105800.1	PBANKA_0207500	
PF3D7_0105900	PF3D7_0105900.1	PBANKA_0207400	
PF3D7_0106000	PF3D7_0106000.1	PBANKA_0207300	
PF3D7_0106100	PF3D7_0106100.1	PBANKA_0207200	
PF3D7_0106200	PF3D7_0106200.1	PBANKA_0207100	
PF3D7_0106300	PF3D7_0106300.1	PBANKA_0207000	
PF3D7_0106400	PF3D7_0106400.1	PBANKA_0206900	
PF3D7_0106700	PF3D7_0106700.1	PBANKA_0206600	
PF3D7_0106800	PF3D7_0106800.1	PBANKA_0206500	
PF3D7_0106900	PF3D7_0106900.1	PBANKA_0206400	
PF3D7_0107000	PF3D7_0107000.1	PBANKA_0206300	
PF3D7_0107100	PF3D7_0107100.1	PBANKA_0206200	
PF3D7_0107200	PF3D7_0107200.1	PBANKA_0206100	
PF3D7_0107400	PF3D7_0107400.1	PBANKA_0206000	
PF3D7_0107700	PF3D7_0107700.1	PBANKA_0205700	
PF3D7_0107800	PF3D7_0107800.1	PBANKA_0205600	
PF3D7_0107900	PF3D7_0107900.1	PBANKA_0205500	
PF3D7_0108000	PF3D7_0108000.1	PBANKA_0205400	
PF3D7_0108100	PF3D7_0108100.1	PBANKA_0205300	
PF3D7_0108400	PF3D7_0108400.1	PBANKA_0205100	
