Gene ID	source_id	Product Description	Input Ortholog(s)	gene_source_id	Gene Name or Symbol	
PF3D7_0102800	PF3D7_0102800.1	seipin domain-containing protein, putative	PVP01_0211900	PF3D7_0102800	N/A	
PF3D7_0102900	PF3D7_0102900.1	aspartate--tRNA ligase	PVP01_0211800	PF3D7_0102900	N/A	
PF3D7_0103000	PF3D7_0103000.1	vacuolar protein sorting-associated protein VTA1, putative	PVP01_0211700	PF3D7_0103000	N/A	
PF3D7_0103100	PF3D7_0103100.1	vacuolar protein sorting-associated protein 51, putative	PVP01_0211600	PF3D7_0103100	VPS51	
PF3D7_0103200	PF3D7_0103200.1	nucleoside transporter 4	PVP01_0211500	PF3D7_0103200	NT4	
PF3D7_0103300	PF3D7_0103300.1	conserved protein, unknown function	PVP01_0211400	PF3D7_0103300	N/A	
PF3D7_0103400	PF3D7_0103400.1	zinc-carboxypeptidase, putative	PVP01_0211300	PF3D7_0103400	N/A	
PF3D7_0103500	PF3D7_0103500.1	conserved Plasmodium protein, unknown function	PVP01_0211200	PF3D7_0103500	N/A	
PF3D7_0103600	PF3D7_0103600.1	ATP-dependent DNA/RNA helicase PSH1	PVP01_0211100	PF3D7_0103600	PSH1	
PF3D7_0103700	PF3D7_0103700.1	L-seryl-tRNA(Sec) kinase, putative	PVP01_0211000	PF3D7_0103700	PSTK	
PF3D7_0103800	PF3D7_0103800.1	actin-related protein	PVP01_0210900	PF3D7_0103800	ARP1	
PF3D7_0103900	PF3D7_0103900.1	parasite-infected erythrocyte surface protein	PVP01_0210800	PF3D7_0103900	PIESP15	
PF3D7_0104000	PF3D7_0104000.1	thrombospondin-related sporozoite protein	PVP01_0210700	PF3D7_0104000	TRSP	
PF3D7_0104100	PF3D7_0104100.1	conserved Plasmodium membrane protein, unknown function	PVP01_0210600	PF3D7_0104100	N/A	
PF3D7_0104200	PF3D7_0104200.1	StAR-related lipid transfer protein	PVP01_0210500	PF3D7_0104200	N/A	
PF3D7_0104300	PF3D7_0104300.1	ubiquitin carboxyl-terminal hydrolase 1, putative	PVP01_0210400	PF3D7_0104300	UBP1	
PF3D7_0104400	PF3D7_0104400.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	PVP01_0210300	PF3D7_0104400	LytB	
PF3D7_0104500	PF3D7_0104500.1	conserved protein, unknown function	PVP01_0210200	PF3D7_0104500	N/A	
PF3D7_0104600	PF3D7_0104600.1	conserved Plasmodium protein, unknown function	PVP01_0210100	PF3D7_0104600	N/A	
PF3D7_0104700	PF3D7_0104700.1	major facilitator superfamily-related transporter, putative	PVP01_0210000	PF3D7_0104700	MFR2	
PF3D7_0104800	PF3D7_0104800.1	novel putative transporter 1, putative	PVP01_0209900	PF3D7_0104800	NPT1	
PF3D7_0105100	PF3D7_0105100.1	conserved Apicomplexan protein, unknown function	PVP01_0209700	PF3D7_0105100	N/A	
PF3D7_0105200	PF3D7_0105200.1	heptatricopeptide repeat and RAP domain-containing protein, putative	PVP01_0209600	PF3D7_0105200	N/A	
PF3D7_0105300	PF3D7_0105300.1	cyclase-associated protein	PVP01_0209500	PF3D7_0105300	CAP	
PF3D7_0105500	PF3D7_0105500.1	conserved protein, unknown function	PVP01_0209300	PF3D7_0105500	N/A	
PF3D7_0105600	PF3D7_0105600.1	FtsJ-like methyltransferase, putative	PVP01_0209200	PF3D7_0105600	N/A	
PF3D7_0105800	PF3D7_0105800.1	cyclin-dependent kinases regulatory subunit, putative	PVP01_0209000	PF3D7_0105800	N/A	
PF3D7_0105900	PF3D7_0105900.1	3'-5' exonuclease, putative	PVP01_0208900	PF3D7_0105900	N/A	
PF3D7_0106000	PF3D7_0106000.1	conserved protein, unknown function	PVP01_0208800	PF3D7_0106000	N/A	
PF3D7_0106100	PF3D7_0106100.1	V-type proton ATPase subunit C, putative	PVP01_0208700	PF3D7_0106100	N/A	
PF3D7_0106200	PF3D7_0106200.1	EF hand domain-containing protein, putative	PVP01_0208600	PF3D7_0106200	N/A	
PF3D7_0106300	PF3D7_0106300.1	calcium-transporting ATPase	PVP01_0208500	PF3D7_0106300	ATP6	
PF3D7_0106400	PF3D7_0106400.1	pre-rRNA-processing protein TSR2, putative	PVP01_0208400	PF3D7_0106400	N/A	
PF3D7_0106700	PF3D7_0106700.1	small ribosomal subunit assembling AARP2 protein	PVP01_0208100	PF3D7_0106700	AARP2	
PF3D7_0106800	PF3D7_0106800.1	ras-related protein Rab-5C	PVP01_0208000	PF3D7_0106800	RAB5c	
PF3D7_0106900	PF3D7_0106900.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	PVP01_0207900	PF3D7_0106900	IspD	
PF3D7_0107000	PF3D7_0107000.1	centrin-1	PVP01_0207800	PF3D7_0107000	CEN1	
PF3D7_0107100	PF3D7_0107100.1	conserved protein, unknown function	PVP01_0207700	PF3D7_0107100	N/A	
PF3D7_0107200	PF3D7_0107200.1	CCR4 domain-containing protein 3, putative	PVP01_0207600	PF3D7_0107200	CCR4-3	
PF3D7_0107400	PF3D7_0107400.1	ATP synthase-associated protein, putative	PVP01_0207500	PF3D7_0107400	N/A	
PF3D7_0107500	PF3D7_0107500.1	Niemann-Pick type C1-related protein	PVP01_0207400	PF3D7_0107500	NCR1	
PF3D7_0107700	PF3D7_0107700.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	PVP01_0207200	PF3D7_0107700	N/A	
PF3D7_0107800	PF3D7_0107800.1	double-strand break repair protein MRE11	PVP01_0207100	PF3D7_0107800	MRE11	
PF3D7_0107900	PF3D7_0107900.1	conserved Plasmodium protein, unknown function	PVP01_0207000	PF3D7_0107900	N/A	
PF3D7_0108000	PF3D7_0108000.1	proteasome subunit beta type-3, putative	PVP01_0206900	PF3D7_0108000	N/A	
PF3D7_0108100	PF3D7_0108100.1	conserved protein, unknown function	PVP01_0206800	PF3D7_0108100	N/A	
PF3D7_0108400	PF3D7_0108400.1	mitochondrial carrier protein, putative	PVP01_0206600	PF3D7_0108400	N/A	
PF3D7_0108400	PF3D7_0108400.2	mitochondrial carrier protein, putative	PVP01_0206600	PF3D7_0108400	N/A	
PF3D7_0108600	PF3D7_0108600.1	DnaJ domain-containing protein, putative	PVP01_0206400	PF3D7_0108600	N/A	
PF3D7_0108800	PF3D7_0108800.1	mitochondrial carrier protein, putative	PVP01_0206200	PF3D7_0108800	N/A	
PF3D7_0109000	PF3D7_0109000.1	photosensitized INA-labeled protein PHIL1	PVP01_0206100	PF3D7_0109000	PHIL1	
PF3D7_0109100	PF3D7_0109100.1	LCCL domain-containing protein	PVP01_0206000	PF3D7_0109100	CCp5	
PF3D7_0109200	PF3D7_0109200.1	cleavage and polyadenylation specificity factor subunit 5, putative	PVP01_0205900	PF3D7_0109200	CFIM25	
PF3D7_0109300	PF3D7_0109300.1	elongation of fatty acids protein, putative	PVP01_0205800	PF3D7_0109300	N/A	
PF3D7_0109400	PF3D7_0109400.1	tubulin-specific chaperone a, putative	PVP01_0205700	PF3D7_0109400	N/A	
PF3D7_0109500	PF3D7_0109500.1	N-acetyltransferase, GNAT family, putative	PVP01_0205600	PF3D7_0109500	N/A	
