Gene ID	source_id	Product Description	Gene Name or Symbol	gene_source_id	P. falciparum Su Seven Stages RNA Seq data - Ring - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Early Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Late Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Schizont - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte II - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte V - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ookinete - unique (3D7 7Stages RNA-Seq)	
PF3D7_0100100	PF3D7_0100100.1	erythrocyte membrane protein 1, PfEMP1	VAR	PF3D7_0100100	32.22	4.01	3.8	1.62	4.83	1.07	1.15	
PF3D7_0100200	PF3D7_0100200.1	rifin	RIF	PF3D7_0100200	5.97	0.77	2.14	0	2.83	1.9	2.99	
PF3D7_0100300	PF3D7_0100300.1	erythrocyte membrane protein 1, PfEMP1	VAR	PF3D7_0100300	2.13	0.15	0.06	0.16	0.09	0.05	0	
PF3D7_0100400	PF3D7_0100400.1	rifin	RIF	PF3D7_0100400	4.56	4.79	15.88	1.11	5.66	2.25	2.66	
PF3D7_0100500	PF3D7_0100500.1	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	N/A	PF3D7_0100500	1.52	0	2.23	0	9.43	3.75	0	
PF3D7_0100600	PF3D7_0100600.1	rifin	RIF	PF3D7_0100600	2.52	0.14	0.46	0	5.87	0.97	1.38	
PF3D7_0100700	PF3D7_0100700.1	Plasmodium exported protein, unknown function, fragment	N/A	PF3D7_0100700	0	0	0	0	0	0	0	
PF3D7_0100800	PF3D7_0100800.1	rifin	RIF	PF3D7_0100800	1.31	0	0	0	0	0.41	0	
PF3D7_0100900	PF3D7_0100900.1	rifin	RIF	PF3D7_0100900	0.48	2.18	0.36	0	0.33	0.6	0	
PF3D7_0101000	PF3D7_0101000.1	rifin	RIF	PF3D7_0101000	2.68	0	0.12	0	0.33	0	0	
PF3D7_0101100	PF3D7_0101100.1	exported protein family 4	EPF4	PF3D7_0101100	0	0	0	0	0	0	0	
PF3D7_0101200	PF3D7_0101200.1	exported protein family 3	EPF3	PF3D7_0101200	0	0	0	0	0	0	0	
PF3D7_0101300	PF3D7_0101300.1	Pfmc-2TM Maurer's cleft two transmembrane protein	MC-2TM	PF3D7_0101300	1.44	20.34	0.53	0	1.99	0	6.3	
PF3D7_0101400	PF3D7_0101400.1	exported protein family 1, pseudogene	EPF1	PF3D7_0101400	0	0	0	0	0	0	0	
PF3D7_0101500	PF3D7_0101500.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	VAR	PF3D7_0101500	0.1	0	0	0	0.21	0	0	
PF3D7_0101600	PF3D7_0101600.1	rifin	RIF	PF3D7_0101600	3.67	1.1	0.9	0	2.54	0.57	0	
PF3D7_0101700	PF3D7_0101700.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	VAR	PF3D7_0101700	0.25	0	0	0	0	0	0	
PF3D7_0101800	PF3D7_0101800.1	stevor	N/A	PF3D7_0101800	0.59	0.88	0	0	0	0	0	
PF3D7_0101900	PF3D7_0101900.1	rifin	RIF	PF3D7_0101900	3.46	0.89	3.88	15	0.34	0.2	0	
PF3D7_0102000	PF3D7_0102000.1	Plasmodium exported protein (PHISTa), unknown function, pseudogene	N/A	PF3D7_0102000	3.36	1.01	0	0	0	0.28	0	
PF3D7_0102100	PF3D7_0102100.1	stevor, pseudogene	N/A	PF3D7_0102100	5.82	1.27	0.15	0	0	0	0	
PF3D7_0102200	PF3D7_0102200.1	ring-infected erythrocyte surface antigen	RESA	PF3D7_0102200	1573.44	28.59	472.04	149	8.32	3.73	314.08	
PF3D7_0102300	PF3D7_0102300.1	Plasmodium exported protein, unknown function	N/A	PF3D7_0102300	5.76	11.25	63.61	26.24	25.86	14.81	4.2	
PF3D7_0102400	PF3D7_0102400.1	lysophospholipase, putative, pseudogene	N/A	PF3D7_0102400	3.24	1.2	4.13	3.76	16.81	86.11	9.04	
PF3D7_0102500	PF3D7_0102500.1	erythrocyte binding antigen-181	EBA181	PF3D7_0102500	10.87	1.66	83.72	44.23	8.46	6.11	97.07	
PF3D7_0102600	PF3D7_0102600.1	serine/threonine protein kinase, FIKK family	FIKK1	PF3D7_0102600	7.27	48.96	3.57	0.33	6.14	7.31	22.79	
PF3D7_0102700	PF3D7_0102700.1	merozoite-associated tryptophan-rich antigen	MaTrA	PF3D7_0102700	14.52	6.27	11.89	3.73	14.83	36.34	132.45	
PF3D7_0102800	PF3D7_0102800.1	seipin domain-containing protein, putative	N/A	PF3D7_0102800	4.66	2.35	6.86	5.43	19.3	79.8	29.36	
PF3D7_0102900	PF3D7_0102900.1	aspartate--tRNA ligase	N/A	PF3D7_0102900	54.92	107.83	64.78	20.08	35.94	32.89	29.26	
PF3D7_0103000	PF3D7_0103000.1	vacuolar protein sorting-associated protein VTA1, putative	N/A	PF3D7_0103000	3.49	1.96	21.65	56.36	89.37	53.24	169.71	
PF3D7_0103100	PF3D7_0103100.1	vacuolar protein sorting-associated protein 51, putative	VPS51	PF3D7_0103100	4.78	0.69	15.15	4.42	4.88	35.49	15.46	
PF3D7_0103200	PF3D7_0103200.1	nucleoside transporter 4	NT4	PF3D7_0103200	26.82	127.71	97.59	49.82	244.43	194.94	39.89	
PF3D7_0103300	PF3D7_0103300.1	conserved protein, unknown function	N/A	PF3D7_0103300	41.23	35.5	28.63	11.01	9.32	19.4	21.58	
PF3D7_0103400	PF3D7_0103400.1	zinc-carboxypeptidase, putative	N/A	PF3D7_0103400	9.22	46.43	58.81	38.33	15.64	152.19	146.19	
PF3D7_0103500	PF3D7_0103500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0103500	2.61	1.6	5.85	1.81	6.82	17.13	3.81	
PF3D7_0103600	PF3D7_0103600.1	ATP-dependent DNA/RNA helicase PSH1	PSH1	PF3D7_0103600	6.9	17.13	15.59	4.17	26.91	69.77	24.87	
PF3D7_0103700	PF3D7_0103700.1	L-seryl-tRNA(Sec) kinase, putative	PSTK	PF3D7_0103700	3.91	3.05	6.22	1.16	9.2	37.82	27.75	
PF3D7_0103800	PF3D7_0103800.1	actin-related protein	ARP1	PF3D7_0103800	9.66	2.68	50.46	48.76	258.44	384.59	57.26	
PF3D7_0103900	PF3D7_0103900.1	parasite-infected erythrocyte surface protein	PIESP15	PF3D7_0103900	4.33	9.93	30.34	10.39	8.15	162.27	19.8	
PF3D7_0104000	PF3D7_0104000.1	thrombospondin-related sporozoite protein	TRSP	PF3D7_0104000	7.94	2.18	9.66	21.4	60.83	196.94	36.28	
PF3D7_0104100	PF3D7_0104100.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_0104100	3.79	0.77	65.24	467.79	3.26	26.13	5.01	
PF3D7_0104200	PF3D7_0104200.1	StAR-related lipid transfer protein	N/A	PF3D7_0104200	11.16	116.45	166.81	141.87	45.74	27.1	59.45	
PF3D7_0104300	PF3D7_0104300.1	ubiquitin carboxyl-terminal hydrolase 1, putative	UBP1	PF3D7_0104300	72.97	78.85	59.16	27.42	11.84	21.13	23.23	
PF3D7_0104400	PF3D7_0104400.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	LytB	PF3D7_0104400	10.04	26.77	67.22	33.5	65.47	85.95	190.54	
PF3D7_0104500	PF3D7_0104500.1	conserved protein, unknown function	N/A	PF3D7_0104500	71.92	57.86	50.85	6.68	164.64	152.39	23.18	
PF3D7_0104600	PF3D7_0104600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0104600	3.3	4.31	2.71	0.31	5.96	16.54	0.37	
PF3D7_0104700	PF3D7_0104700.1	major facilitator superfamily-related transporter, putative	MFR2	PF3D7_0104700	3.26	0.65	0.88	0	3.63	6.38	25.07	
PF3D7_0104800	PF3D7_0104800.1	novel putative transporter 1, putative	NPT1	PF3D7_0104800	11.17	3.98	36.07	36.42	48.12	104.38	48.03	
PF3D7_0105100	PF3D7_0105100.1	conserved Apicomplexan protein, unknown function	N/A	PF3D7_0105100	3.15	1.06	5.5	5.73	4.89	15.54	10.33	
PF3D7_0105200	PF3D7_0105200.1	heptatricopeptide repeat and RAP domain-containing protein, putative	N/A	PF3D7_0105200	9.36	28.54	39.87	7.98	15.68	37.84	26.14	
PF3D7_0105300	PF3D7_0105300.1	cyclase-associated protein	CAP	PF3D7_0105300	9.03	1.57	219	452.05	241.2	183.99	63.87	
PF3D7_0105400	PF3D7_0105400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0105400	4.42	2.17	30.17	77.58	117.36	95.69	14.06	
PF3D7_0105400	PF3D7_0105400.2	conserved Plasmodium protein, unknown function	N/A	PF3D7_0105400	4.42	2.17	30.17	77.58	117.36	95.69	14.06	
PF3D7_0105500	PF3D7_0105500.1	conserved protein, unknown function	N/A	PF3D7_0105500	3.28	2.37	6.41	2.39	6.12	14.99	5.75	
PF3D7_0105600	PF3D7_0105600.1	FtsJ-like methyltransferase, putative	N/A	PF3D7_0105600	28.94	24.22	18.18	9.44	14.56	23.23	24.69	
PF3D7_0105700	PF3D7_0105700.1	asparagine-rich antigen Pfa35-2	N/A	PF3D7_0105700	5.45	4.43	28.42	12.33	30.72	99.89	344.16	
PF3D7_0105800	PF3D7_0105800.1	cyclin-dependent kinases regulatory subunit, putative	N/A	PF3D7_0105800	5.44	3.25	69.34	73.34	21.27	45.65	37.5	
PF3D7_0105900	PF3D7_0105900.1	3'-5' exonuclease, putative	N/A	PF3D7_0105900	4.54	3.41	18.85	15.63	18.82	180.76	33.13	
PF3D7_0106000	PF3D7_0106000.1	conserved protein, unknown function	N/A	PF3D7_0106000	8.1	6.53	36.01	41.37	4.2	23.56	21.49	
PF3D7_0106100	PF3D7_0106100.1	V-type proton ATPase subunit C, putative	N/A	PF3D7_0106100	28.47	83.77	81.34	39.78	16.81	21.48	10.33	
PF3D7_0106200	PF3D7_0106200.1	EF hand domain-containing protein, putative	N/A	PF3D7_0106200	7.34	2.13	14.87	11.47	16.84	66.35	52.79	
PF3D7_0106300	PF3D7_0106300.1	calcium-transporting ATPase	ATP6	PF3D7_0106300	136.13	145.38	390.18	658	65.51	27.47	56.88	
PF3D7_0106400	PF3D7_0106400.1	pre-rRNA-processing protein TSR2, putative	N/A	PF3D7_0106400	145.02	74.48	21.78	1.31	245.93	811.74	82.1	
PF3D7_0106500	PF3D7_0106500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0106500	5.05	0.72	8.12	4.82	4.65	22.08	36.87	
PF3D7_0106600	PF3D7_0106600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0106600	5.66	0.34	1.25	2.06	2.74	3.96	19.83	
PF3D7_0106700	PF3D7_0106700.1	small ribosomal subunit assembling AARP2 protein	AARP2	PF3D7_0106700	152.31	227.02	81.49	53.79	13	22.7	50.44	
PF3D7_0106800	PF3D7_0106800.1	ras-related protein Rab-5C	RAB5c	PF3D7_0106800	6.06	26.6	181.35	168.96	268.56	185.34	62.26	
PF3D7_0106900	PF3D7_0106900.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	IspD	PF3D7_0106900	1.85	1.53	13.11	8.14	7.34	46.03	43.17	
PF3D7_0107000	PF3D7_0107000.1	centrin-1	CEN1	PF3D7_0107000	8.38	14.2	288.46	152.66	1468.02	776.02	601.39	
PF3D7_0107100	PF3D7_0107100.1	conserved protein, unknown function	N/A	PF3D7_0107100	3.44	6.29	10.66	3.04	11.22	20.82	16.4	
PF3D7_0107200	PF3D7_0107200.1	CCR4 domain-containing protein 3, putative	CCR4-3	PF3D7_0107200	4.36	5.14	15.67	3.05	41.67	21.51	14.67	
PF3D7_0107300	PF3D7_0107300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_0107300	3.96	0.89	3.54	2.58	7.04	148.73	106.59	
PF3D7_0107400	PF3D7_0107400.1	ATP synthase-associated protein, putative	N/A	PF3D7_0107400	57.37	11.94	42.51	20.1	714.82	316.4	70.83	
PF3D7_0107500	PF3D7_0107500.1	Niemann-Pick type C1-related protein	NCR1	PF3D7_0107500	554.25	561.44	204.28	55.84	28.48	24.62	49.88	
PF3D7_0107600	PF3D7_0107600.1	eukaryotic translation initiation factor 2-alpha kinase 2, putative	eIK2	PF3D7_0107600	2.84	0.42	1.28	0	5.37	40.34	14.91	
PF3D7_0107700	PF3D7_0107700.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	N/A	PF3D7_0107700	3.04	1.26	8.86	1.85	29.93	144.98	38.82	
PF3D7_0107800	PF3D7_0107800.1	double-strand break repair protein MRE11	MRE11	PF3D7_0107800	4.68	8.52	15.31	5.35	6.28	24.19	18.88	
